Indexcd,Trddt,Clsindex,Retindex
300,2006/12/22,1895.644,-0.006989
300,2006/12/25,1939.104,0.022926
300,2006/12/26,1938.238,-0.000447
300,2006/12/27,1982.877,0.023031
300,2006/12/28,1979.933,-0.001485
300,2006/12/29,2041.047,0.030867
300,2007/1/4,2067.092,0.012761
300,2007/1/5,2072.883,0.002802
300,2007/1/8,2131.556,0.028305
300,2007/1/9,2200.086,0.03215
300,2007/1/10,2255.966,0.025399
300,2007/1/11,2231.629,-0.010788
300,2007/1/12,2173.747,-0.025937
300,2007/1/15,2287.342,0.052258
300,2007/1/16,2353.874,0.029087
300,2007/1/17,2308.931,-0.019093
300,2007/1/18,2317.095,0.003536
300,2007/1/19,2396.093,0.034094
300,2007/1/22,2491.313,0.03974
300,2007/1/23,2508.13,0.00675
300,2007/1/24,2536.428,0.011283
300,2007/1/25,2452.831,-0.032959
300,2007/1/26,2512.922,0.024499
300,2007/1/29,2576.917,0.025466
300,2007/1/30,2551.884,-0.009714
300,2007/1/31,2385.335,-0.065265
300,2007/2/1,2395.172,0.004124
300,2007/2/2,2298.003,-0.040569
300,2007/2/5,2271.797,-0.011404
300,2007/2/6,2316.04,0.019475
300,2007/2/7,2369.787,0.023206
300,2007/2/8,2410.601,0.017223
300,2007/2/9,2397.245,-0.005541
300,2007/2/12,2485.392,0.03677
300,2007/2/13,2522.63,0.014983
300,2007/2/14,2588.349,0.026052
300,2007/2/15,2668.633,0.031017
300,2007/2/16,2676.735,0.003036
300,2007/2/26,2707.676,0.011559
300,2007/2/27,2457.492,-0.092398
300,2007/2/28,2544.571,0.035434
300,2007/3/1,2473.544,-0.027913
300,2007/3/2,2508.729,0.014225
300,2007/3/5,2475.606,-0.013203
300,2007/3/6,2520.293,0.018051
300,2007/3/7,2589.436,0.027435
300,2007/3/8,2627.63,0.01475
300,2007/3/9,2611.393,-0.006179
300,2007/3/12,2616.172,0.00183
300,2007/3/13,2640.169,0.009173
300,2007/3/14,2597.357,-0.016216
300,2007/3/15,2645.546,0.018553
300,2007/3/16,2604.226,-0.015619
300,2007/3/19,2659.413,0.021191
300,2007/3/20,2672.771,0.005023
300,2007/3/21,2702.597,0.011159
300,2007/3/22,2711.322,0.003228
300,2007/3/23,2716.266,0.001823
300,2007/3/26,2764.034,0.017586
300,2007/3/27,2784.023,0.007232
300,2007/3/28,2797.649,0.004894
300,2007/3/29,2783.305,-0.005127
300,2007/3/30,2781.784,-0.000546
300,2007/4/2,2850.107,0.024561
300,2007/4/3,2888.115,0.013336
300,2007/4/4,2911.821,0.008208
300,2007/4/5,2945.045,0.01141
300,2007/4/6,2972.008,0.009155
300,2007/4/9,3038.172,0.022262
300,2007/4/10,3081.568,0.014284
300,2007/4/11,3121.323,0.012901
300,2007/4/12,3176.437,0.017657
300,2007/4/13,3169.233,-0.002268
300,2007/4/16,3255.998,0.027377
300,2007/4/17,3283.604,0.008479
300,2007/4/18,3304.501,0.006364
300,2007/4/19,3150.303,-0.046663
300,2007/4/20,3289.282,0.044116
300,2007/4/23,3431.318,0.043181
300,2007/4/24,3445.196,0.004045
300,2007/4/25,3448.281,0.000895
300,2007/4/26,3493.581,0.013137
300,2007/4/27,3470.523,-0.0066
300,2007/4/30,3558.709,0.02541
300,2007/5/8,3686.03,0.035777
300,2007/5/9,3701.277,0.004136
300,2007/5/10,3724.51,0.006277
300,2007/5/11,3702.612,-0.005879
300,2007/5/14,3734.42,0.008591
300,2007/5/15,3604.636,-0.034753
300,2007/5/16,3700.287,0.026536
300,2007/5/17,3778.605,0.021165
300,2007/5/18,3776.629,-0.000523
300,2007/5/21,3831.443,0.014514
300,2007/5/22,3870.489,0.010191
300,2007/5/23,3938.945,0.017687
300,2007/5/24,3919.748,-0.004874
300,2007/5/25,3985.252,0.016711
300,2007/5/28,4072.578,0.021912
300,2007/5/29,4168.289,0.023501
300,2007/5/30,3886.459,-0.067613
300,2007/5/31,3927.952,0.010676
300,2007/6/1,3803.954,-0.031568
300,2007/6/4,3511.431,-0.0769
300,2007/6/5,3634.633,0.035086
300,2007/6/6,3677.58,0.011816
300,2007/6/7,3802.304,0.033915
300,2007/6/8,3837.867,0.009353
300,2007/6/11,3931.862,0.024491
300,2007/6/12,4036.109,0.026513
300,2007/6/13,4118.268,0.020356
300,2007/6/14,4075.821,-0.010307
300,2007/6/15,4099.381,0.00578
300,2007/6/18,4227.569,0.03127
300,2007/6/19,4253,0.006016
300,2007/6/20,4157.599,-0.022431
300,2007/6/21,4197.28,0.009544
300,2007/6/22,4051.426,-0.03475
300,2007/6/25,3877.59,-0.042907
300,2007/6/26,3928.213,0.013055
300,2007/6/27,4040.484,0.028581
300,2007/6/28,3858.522,-0.045035
300,2007/6/29,3764.078,-0.024477
300,2007/7/2,3757.655,-0.001706
300,2007/7/3,3832.227,0.019845
300,2007/7/4,3743.582,-0.023131
300,2007/7/5,3537.435,-0.055067
300,2007/7/6,3710.283,0.048863
300,2007/7/9,3821.302,0.029922
300,2007/7/10,3775.621,-0.011954
300,2007/7/11,3789.874,0.003775
300,2007/7/12,3816.921,0.007137
300,2007/7/13,3820.124,0.000839
300,2007/7/16,3697.966,-0.031977
300,2007/7/17,3789.651,0.024793
300,2007/7/18,3807.574,0.004729
300,2007/7/19,3806.997,-0.000152
300,2007/7/20,3971.884,0.043312
300,2007/7/23,4156.723,0.046537
300,2007/7/24,4161.352,0.001114
300,2007/7/25,4255.463,0.022615
300,2007/7/26,4303.185,0.011214
300,2007/7/27,4307.143,0.00092
300,2007/7/30,4410.297,0.02395
300,2007/7/31,4460.564,0.011398
300,2007/8/1,4290.477,-0.038131
300,2007/8/2,4436.192,0.033962
300,2007/8/3,4598.379,0.03656
300,2007/8/6,4703.984,0.022966
300,2007/8/7,4724.547,0.004371
300,2007/8/8,4668.087,-0.01195
300,2007/8/9,4777.286,0.023393
